Adult Mortality,Adult MortalityAdult Mortality
263,263263
271,271271
268,268268
272,272272
275,275275
279,279279
281,281281
287,287287
295,295295
295,295295
291,291291
293,293293
295,295295
3,33
316,316316
321,321321
74,7474
8,88
84,8484
86,8686
88,8888
91,9191
91,9191
1,11
9,99
99,9999
15,1515
17,1717
18,1818
15,1515
14,1414
11,1111
19,1919
11,1111
112,112112
113,113113
116,116116
119,119119
123,123123
126,126126
129,129129
132,132132
136,136136
14,1414
146,146146
145,145145
145,145145
145,145145
335,335335
348,348348
355,355355
358,358358
361,361361
365,365365
369,369369
371,371371
375,375375
381,381381
382,382382
386,386386
388,388388
391,391391
44,4444
48,4848
13,1313
131,131131
133,133133
134,134134
136,136136
138,138138
14,1414
142,142142
144,144144
145,145145
147,147147
149,149149
151,151151
153,153153
154,154154
156,156156
116,116116
118,118118
119,119119
12,1212
12,1212
121,121121
126,126126
126,126126
129,129129
127,127127
127,127127
13,1313
137,137137
138,138138
138,138138
137,137137
118,118118
12,1212
123,123123
121,121121
128,128128
132,132132
137,137137
14,1414
132,132132
141,141141
137,137137
132,132132
134,134134
134,134134
141,141141
142,142142
59,5959
6,66
61,6161
61,6161
63,6363
64,6464
66,6666
66,6666
66,6666
66,6666
67,6767
69,6969
71,7171
73,7373
75,7575
78,7878
65,6565
66,6666
68,6868
7,77
73,7373
75,7575
77,7777
76,7676
8,88
81,8181
85,8585
86,8686
88,8888
9,99
92,9292
96,9696
118,118118
119,119119
121,121121
123,123123
125,125125
13,1313
132,132132
141,141141
14,1414
154,154154
162,162162
154,154154
154,154154
146,146146
151,151151
16,1616
147,147147
16,1616
172,172172
167,167167
162,162162
161,161161
168,168168
167,167167
167,167167
171,171171
172,172172
174,174174
189,189189
19,1919
189,189189
192,192192
69,6969
7,77
7,77
71,7171
76,7676
73,7373
74,7474
76,7676
77,7777
79,7979
81,8181
83,8383
85,8585
87,8787
9,99
92,9292
129,129129
132,132132
135,135135
137,137137
14,1414
142,142142
144,144144
147,147147
151,151151
152,152152
155,155155
158,158158
161,161161
164,164164
168,168168
173,173173
98,9898
1,11
11,1111
12,1212
14,1414
16,1616
19,1919
111,111111
113,113113
115,115115
117,117117
119,119119
121,121121
123,123123
125,125125
127,127127
196,196196
199,199199
23,2323
194,194194
232,232232
222,222222
226,226226
224,224224
226,226226
243,243243
252,252252
247,247247
253,253253
262,262262
254,254254
247,247247
74,7474
76,7676
77,7777
78,7878
8,88
81,8181
85,8585
87,8787
86,8686
85,8585
89,8989
91,9191
95,9595
99,9999
1,11
11,1111
175,175175
177,177177
18,1818
189,189189
188,188188
186,186186
184,184184
181,181181
181,181181
184,184184
191,191191
197,197197
21,2121
199,199199
21,2121
196,196196
249,249249
252,252252
251,251251
251,251251
251,251251
254,254254
259,259259
278,278278
283,283283
284,284284
285,285285
285,285285
285,285285
283,283283
281,281281
279,279279
211,211211
216,216216
219,219219
223,223223
225,225225
228,228228
232,232232
234,234234
238,238238
245,245245
254,254254
263,263263
273,273273
282,282282
29,2929
312,312312
186,186186
189,189189
192,192192
194,194194
198,198198
22,2222
27,2727
211,211211
216,216216
219,219219
222,222222
226,226226
23,2323
234,234234
238,238238
243,243243
88,8888
89,8989
9,99
92,9292
92,9292
94,9494
97,9797
98,9898
16,1616
1,11
12,1212
99,9999
12,1212
11,1111
113,113113
116,116116
256,256256
268,268268
286,286286
3,33
325,325325
349,349349
393,393393
427,427427
436,436436
491,491491
566,566566
652,652652
693,693693
699,699699
679,679679
647,647647
142,142142
144,144144
146,146146
148,148148
152,152152
154,154154
157,157157
158,158158
159,159159
161,161161
163,163163
17,1717
172,172172
176,176176
179,179179
183,183183
78,7878
8,88
84,8484
79,7979
79,7979
79,7979
88,8888
84,8484
1,11
93,9393
92,9292
89,8989
89,8989
95,9595
19,1919
16,1616
137,137137
138,138138
14,1414
139,139139
144,144144
147,147147
152,152152
155,155155
157,157157
161,161161
16,1616
157,157157
155,155155
157,157157
16,1616
163,163163
26,2626
268,268268
27,2727
271,271271
275,275275
279,279279
283,283283
288,288288
293,293293
32,3232
313,313313
323,323323
332,332332
338,338338
344,344344
348,348348
288,288288
297,297297
33,3333
312,312312
321,321321
33,3333
338,338338
35,3535
355,355355
361,361361
369,369369
378,378378
387,387387
387,387387
385,385385
386,386386
397,397397
47,4747
412,412412
415,415415
419,419419
417,417417
426,426426
437,437437
443,443443
452,452452
466,466466
472,472472
473,473473
473,473473
467,467467
461,461461
114,114114
117,117117
12,1212
121,121121
122,122122
123,123123
124,124124
124,124124
126,126126
129,129129
134,134134
14,1414
144,144144
148,148148
152,152152
155,155155
174,174174
179,179179
183,183183
186,186186
19,1919
192,192192
195,195195
199,199199
24,2424
216,216216
234,234234
253,253253
268,268268
273,273273
273,273273
274,274274
357,357357
366,366366
364,364364
369,369369
371,371371
37,3737
373,373373
382,382382
395,395395
394,394394
4,44
412,412412
412,412412
47,4747
41,4141
394,394394
64,6464
65,6565
67,6767
68,6868
68,6868
7,77
72,7272
74,7474
74,7474
75,7575
76,7676
77,7777
78,7878
79,7979
8,88
82,8282
397,397397
437,437437
451,451451
439,439439
443,443443
446,446446
453,453453
477,477477
495,495495
56,5656
511,511511
512,512512
51,5151
58,5858
54,5454
49,4949
356,356356
362,362362
366,366366
367,367367
365,365365
364,364364
37,3737
394,394394
394,394394
414,414414
46,4646
45,4545
43,4343
43,4343
4,44
44,4444
82,8282
83,8383
84,8484
84,8484
86,8686
89,8989
91,9191
88,8888
9,99
91,9191
93,9393
97,9797
1,11
11,1111
16,1616
13,1313
85,8585
86,8686
88,8888
89,8989
91,9191
92,9292
93,9393
97,9797
96,9696
98,9898
99,9999
11,1111
13,1313
16,1616
11,1111
115,115115
143,143143
144,144144
145,145145
143,143143
144,144144
15,1515
15,1515
146,146146
144,144144
147,147147
144,144144
148,148148
15,1515
163,163163
165,165165
167,167167
227,227227
23,2323
233,233233
237,237237
241,241241
246,246246
251,251251
255,255255
259,259259
262,262262
266,266266
269,269269
271,271271
271,271271
272,272272
272,272272
267,267267
275,275275
274,274274
273,273273
285,285285
298,298298
314,314314
338,338338
354,354354
368,368368
394,394394
48,4848
417,417417
424,424424
419,419419
416,416416
,
95,9595
96,9696
96,9696
97,9797
98,9898
16,1616
96,9696
99,9999
93,9393
16,1616
97,9797
12,1212
1,11
99,9999
1,11
98,9898
95,9595
97,9797
97,9797
14,1414
14,1414
16,1616
19,1919
116,116116
114,114114
113,113113
116,116116
114,114114
122,122122
124,124124
126,126126
127,127127
92,9292
93,9393
96,9696
96,9696
92,9292
98,9898
11,1111
12,1212
14,1414
14,1414
19,1919
17,1717
18,1818
19,1919
115,115115
115,115115
52,5252
53,5353
54,5454
56,5656
57,5757
59,5959
6,66
62,6262
63,6363
64,6464
65,6565
65,6565
66,6666
68,6868
69,6969
7,77
86,8686
88,8888
9,99
93,9393
97,9797
99,9999
12,1212
16,1616
17,1717
19,1919
114,114114
116,116116
122,122122
12,1212
123,123123
126,126126
139,139139
142,142142
146,146146
149,149149
153,153153
157,157157
161,161161
164,164164
166,166166
165,165165
165,165165
165,165165
165,165165
167,167167
177,177177
192,192192
258,258258
266,266266
272,272272
277,277277
278,278278
